Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,0,16/02/2018 08:27:23,112640768,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633341,56300000.0,138.5929291,56300000,56300000,113000000,56300000.0,138.5929291,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633341,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0.0,0,0,56300000.0,138.5929291,56300000,56300000,Benign
0,0,16/02/2018 08:30:12,112641773,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633104,56300000.0,263.7508294,56300000,56300000,113000000,56300000.0,263.7508294,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633104,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0.0,0,0,56300000.0,263.7508294,56300000,56300000,Benign
35605,6,16/02/2018 08:26:55,20784143,23,44,2416,1344,240,64,105.0434783,54.5422924,64,0,30.54545455,32.33649716,180.9071464,3.223611385,314911.2576,1145953.758,9058214,66,20700000,940484.2727,1898330.299,9144734,66,20700000,482352.2093,1396411.114,9058214,41601,1,0,0,0,460,880,1.106612863,2.116998521,0,240,56.23529412,53.85168068,2900.003512,0,1,0,0,1,0,0,0,1,57.07462687,105.0434783,30.54545455,0,0,0,0,0,0,23,2416,44,1344,263,255,22,20,2624734,0.0,2624734,2624734,9058214.0,0.0,9058214,9058214,Benign
0,0,16/02/2018 08:33:01,112640836,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633325,56300000.0,82.02438662,56300000,56300000,113000000,56300000.0,82.02438662,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633325,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0.0,0,0,56300000.0,82.02438662,56300000,56300000,Benign
23,6,16/02/2018 08:27:59,20,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,100000.0,20.0,0.0,20,20,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,50000.0,50000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,58856,0,0,20,0,0.0,0,0,0.0,0.0,0,0,Benign
0,0,16/02/2018 08:35:50,112641178,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633244,56300000.0,5.656854249,56300000,56300000,113000000,56300000.0,5.656854249,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633244,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0.0,0,0,56300000.0,5.656854249,56300000,56300000,Benign
0,0,16/02/2018 08:38:39,112641264,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633224,56300000.0,7.071067812,56300000,56300000,113000000,56300000.0,7.071067812,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633224,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0.0,0,0,56300000.0,7.071067812,56300000,56300000,Benign
0,0,16/02/2018 08:41:28,112641525,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633162,56300000.0,17.67766953,56300000,56300000,113000000,56300000.0,17.67766953,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633162,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0.0,0,0,56300000.0,17.67766953,56300000,56300000,Benign
0,0,16/02/2018 08:44:17,112641414,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633188,56300000.0,63.63961031,56300000,56300000,113000000,56300000.0,63.63961031,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633188,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0.0,0,0,56300000.0,63.63961031,56300000,56300000,Benign
0,0,16/02/2018 08:47:06,112641379,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633197,56300000.0,30.40559159,56300000,56300000,113000000,56300000.0,30.40559159,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633197,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0.0,0,0,56300000.0,30.40559159,56300000,56300000,Benign
23,6,16/02/2018 08:38:02,24,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,83333.33333,24.0,0.0,24,24,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,41666.66667,41666.66667,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,58856,0,0,20,0,0.0,0,0,0.0,0.0,0,0,Benign
0,0,16/02/2018 08:49:55,112639807,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633568,56300000.0,112.4299782,56300000,56300000,113000000,56300000.0,112.4299782,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633568,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0.0,0,0,56300000.0,112.4299782,56300000,56300000,Benign
23,6,16/02/2018 08:51:18,22,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,90909.09091,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,45454.54545,45454.54545,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,58856,0,0,20,0,0.0,0,0,0.0,0.0,0,0,Benign
0,0,16/02/2018 08:52:44,112640246,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633465,56300000.0,123.0365799,56300000,56300000,113000000,56300000.0,123.0365799,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633465,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0.0,0,0,56300000.0,123.0365799,56300000,56300000,Benign
80,6,16/02/2018 08:56:00,260500,16,16,217,24171,217,0,13.5625,54.25,4344,0,1510.6875,993.7161713,93619.96161,122.840691,8403.225806,25865.70522,88584,3,260264,17350.93333,35613.14724,88611,14,171916,11461.06667,29840.04077,85363,15,0,0,0,0,520,520,61.42034549,61.42034549,0,4344,739.030303,1020.883854,1042203.843,0,0,0,1,0,0,0,0,1,762.125,13.5625,1510.6875,0,0,0,0,0,0,16,217,16,24171,26883,119,1,32,0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,16/02/2018 08:56:00,198326,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10.08440648,198326.0,0.0,198326,198326,198326,198326.0,0.0,198326,198326,0,0.0,0.0,0,0,0,0,0,0,64,0,10.08440648,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,595,-1,0,32,0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,16/02/2018 08:56:01,340364,24,24,255,45734,255,0,10.625,52.05165703,5792,0,1905.583333,1242.856315,135117.1099,141.0254904,7241.787234,23663.53511,86029,3,257674,11203.21739,29014.69814,86115,10,255804,11121.91304,28805.55303,86179,10,0,0,0,0,776,776,70.51274518,70.51274518,0,5792,938.5510204,1287.600013,1657913.794,0,0,0,1,0,0,0,0,1,958.1041667,10.625,1905.583333,0,0,0,0,0,0,24,255,24,45734,26883,119,1,32,0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,16/02/2018 08:56:01,840596,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2.379264236,840596.0,0.0,840596,840596,840596,840596.0,0.0,840596,840596,0,0.0,0.0,0,0,0,0,0,0,64,0,2.379264236,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,852,-1,0,32,0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,16/02/2018 08:56:00,1677127,59,55,733,107578,261,0,12.42372881,54.31841099,2896,0,1955.963636,830.0861393,64581.275,67.97338544,14841.83186,95108.58361,997521,3,1677127,28915.98276,131761.254,997521,7,593189,10984.98148,27891.01423,153682,10,0,0,0,0,1904,1768,35.17920825,32.79417719,0,2896,941.8347826,1130.890605,1278913.56,0,0,0,1,0,0,0,0,0,950.0964912,12.42372881,1955.963636,0,0,0,0,0,0,59,733,55,107578,26883,252,3,32,0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,16/02/2018 08:56:00,1676473,207,889,1759,1566268,273,0,8.497584541,45.70078651,8688,0,1761.831271,870.3020009,935313.0053,653.7534455,1531.025571,44256.82144,1458530,2,1676473,8138.218447,101974.3103,1458530,13,217057,244.4335586,4586.449562,135528,3,0,0,0,0,6632,28456,123.4735066,530.2799389,0,8688,1429.377393,1042.542467,1086894.795,0,0,0,1,0,0,0,0,4,1430.681569,8.497584541,1761.831271,0,0,0,0,0,0,207,1759,889,1566268,26883,269,7,32,0,0.0,0,0,0.0,0.0,0,0,Benign
0,0,16/02/2018 08:55:32,112640552,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633392,56300000.0,43.84062043,56300000,56300000,113000000,56300000.0,43.84062043,56300000,56300000,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633392,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0.0,0,0,56300000.0,43.84062043,56300000,56300000,Benign
